author,title,review,original_title,original_review,stars,iso,version,date,deleted,has_response,product,product_id,product_name,vendor_id,store,weight,id,tags,predicted_langs
Cfgggggg,Review,The app could be better if you could switch between accounts without completely signing out,Review,The app could be better if you could switch between accounts without completely signing out,5.00,US,11.10,2023-06-05T21:18:38,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LUiGoVE0ftdAq9G0CfeWEjw,gameplay,en
Steve402,App,Can we just pay our bill without having to update the app every time!??,App,Can we just pay our bill without having to update the app every time!??,1.00,US,11.10,2023-06-05T20:14:43,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LJ0RN1EKzeWXEJQs4fFoFGA,pricing,en
MiMiola Joshua,Good,Literally two clicks and paid,Good,Literally two clicks and paid,5.00,US,11.10,2023-06-05T16:12:11,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L76VM5Hj4qw2IObzqTRmZ7Q,pricing,en
weenielover98,Easy to use!,Very easy and accessible to use! Love that you can name devices and see when a new device connects.,Easy to use!,Very easy and accessible to use! Love that you can name devices and see when a new device connects.,5.00,US,11.10,2023-06-05T14:48:39,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838Lg59DxICs1FiK8kjDw27HRA,gameplay,en
pericosmart,Ok,Easy to used,Ok,Easy to used,5.00,US,11.10,2023-06-05T04:15:59,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838Lp0T0OtcuAVSPdR61Zr41BA,,en
FilmBobster,Used to work great,"I really don’t use the app to do anything besides pay my monthly bill. And it was great at streamlining the process for that. But with the latest update, my Billing page, along with a lot of the other information that used to show up, are all blank. I’ve tried reinstalling, clearing caches, etc, but to no avail. Please make it easy to give you money again.",Used to work great,"I really don’t use the app to do anything besides pay my monthly bill. And it was great at streamlining the process for that. But with the latest update, my Billing page, along with a lot of the other information that used to show up, are all blank. I’ve tried reinstalling, clearing caches, etc, but to no avail. Please make it easy to give you money again.",2.00,US,11.10,2023-06-05T02:36:09,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LkHG3ahUh-1IfnDkLF0pKzw,"pricing;gameplay;app_performance",en
M Whatley,Excellent service,"The installer, Steven, was very nice and did a great job!!",Excellent service,"The installer, Steven, was very nice and did a great job!!",5.00,US,11.10,2023-06-04T23:59:58,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L566dtRBLHG05xwBHo_1uDQ,gameplay,"en;nl;af"
Brylan1025,Muy buena  la aplicación me facilita mucho mis pagos y preguntas,Muy buena,Muy buena  la aplicación me facilita mucho mis pagos y preguntas,Muy buena,5.00,US,11.10,2023-06-04T23:12:05,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LE8ettkdCWs76WiVrKQGsHw,,"es;an;gl;ca"
Mel Guzerta,Great app,"Love that I can pay my account, control my kids devices and check status of WiFi.",Great app,"Love that I can pay my account, control my kids devices and check status of WiFi.",4.00,US,11.10,2023-06-04T21:48:40,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LR7b6MjorKFJCfg6OYMiVQA,"pricing;gameplay",en
Shianne Dawn,Spectrum,"I am one hundred percent on board with spectrum! From the way they helped me with deciding to go with the plan we finally got, to the self install, and now this app. Everything has been very matter of fact, and do it yourself! Now they even offer the mobile packages! Which if you asked me would be the only thing they could’ve added to make their company a total success! Bravo to their whole team. Thanks Spectrum!",Spectrum,"I am one hundred percent on board with spectrum! From the way they helped me with deciding to go with the plan we finally got, to the self install, and now this app. Everything has been very matter of fact, and do it yourself! Now they even offer the mobile packages! Which if you asked me would be the only thing they could’ve added to make their company a total success! Bravo to their whole team. Thanks Spectrum!",5.00,US,11.10,2023-06-04T11:31:43,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LBLTvdZLj-NbkeaxPNbFAKQ,"pricing;gameplay",en
