,author_uri,author_name,updated,rating,version,review_id,title,content,link,vote_sum,content_type,vote_count
0,https://itunes.apple.com/us/reviews/id543098719,Cookie fan5,2023-08-02T09:28:50-07:00,5,11.14.1,10211867868,Internet/mobile,I love the spectrum app it’s so easy use and check your balance in both tv and mobile phone. Also easy bill paying right on your phone.,https://itunes.apple.com/us/review?id=942608209&type=Purple%20Software,0,Application,0
1,https://itunes.apple.com/us/reviews/id939708251,Godsaves0831,2023-08-02T06:43:24-07:00,5,11.14.1,10211315355,Spectrum,I just wanted to say that I love spectrum. Y’all have prices that fit my income. Other companies are much higher.,https://itunes.apple.com/us/review?id=942608209&type=Purple%20Software,0,Application,0
2,https://itunes.apple.com/us/reviews/id1555630126,Zou ivy,2023-08-02T04:49:01-07:00,5,11.14.1,10210948940,Good service,Good service.,https://itunes.apple.com/us/review?id=942608209&type=Purple%20Software,0,Application,0
3,https://itunes.apple.com/us/reviews/id1552437916,Chinny03,2023-08-01T21:11:49-07:00,5,11.14.1,10209807426,It’s pretty good,It’s pretty good,https://itunes.apple.com/us/review?id=942608209&type=Purple%20Software,0,Application,0
4,https://itunes.apple.com/us/reviews/id250000314,Patty Wade,2023-08-01T19:16:21-07:00,1,11.14.1,10209515328,So disappointed!,The 1st month with Spectrum internet was great. It worked perfect.  My grandson could finally play games with his besties that live in a different state.  There was a mixup with mine and my neighbors address.   Spectrum deleted  my account at the wrong address and started me with a new account  at my correct address.  I don’t know what happened but now we get internet  maybe half the time. It’s very frustrating when the page won’t load and says I’m not online. I’ve called several times and I’m told everything is working like it should and my phone does show 3 bars. We have AT&T  and I thought maybe they were having a problem  but then I realized my grandson’s game doesn’t use AT&T. The game has to go through the internet. So I’m paying for something that only connects 1/2 the time. Unfortunately we are rural so we really don’t have many other choices for internet. I was so hopeful!,https://itunes.apple.com/us/review?id=942608209&type=Purple%20Software,0,Application,0
5,https://itunes.apple.com/us/reviews/id119346696,Sweet Crafty,2023-08-01T16:35:28-07:00,5,11.14.1,10209122693,Loving the improvements,Thank you Spectrum for improving your app. I am loving that we can now choose a date pass the due date and a specific amount as well.,https://itunes.apple.com/us/review?id=942608209&type=Purple%20Software,0,Application,0
6,https://itunes.apple.com/us/reviews/id464589370,Madimadichic,2023-08-01T13:37:35-07:00,4,11.14.1,10208718238,Spectrum,"I haven’t been with spectrum long, but haven’t had any problems so far. The app is very user-friendly and easy to use. I had no problems, connecting multiple devices and the connection for Wi-Fi is pretty fast.",https://itunes.apple.com/us/review?id=942608209&type=Purple%20Software,0,Application,0
7,https://itunes.apple.com/us/reviews/id754525049,àirramm,2023-08-01T09:22:28-07:00,5,11.14.1,10208021925,My service,"Excellent service 
Great customer service",https://itunes.apple.com/us/review?id=942608209&type=Purple%20Software,0,Application,0
8,https://itunes.apple.com/us/reviews/id1555125289,rockie19716,2023-07-31T20:13:22-07:00,4,11.14.1,10205744148,Payments,I am happy with the app to make payments,https://itunes.apple.com/us/review?id=942608209&type=Purple%20Software,0,Application,0
9,https://itunes.apple.com/us/reviews/id929337727,4Evr a gem,2023-07-31T18:01:26-07:00,1,11.14.1,10205390501,Ridiculously overpriced,"I have no other services except a basic internet and I pay almost 100.00 a month !
You don’t reward your loyal customers! I started with a service at 49.99 about 6 yrs ago and all you do is raise your rates without appreciating loyalty. I will be changing company’s now that I have a number of other options for a lot less!",https://itunes.apple.com/us/review?id=942608209&type=Purple%20Software,0,Application,0
10,https://itunes.apple.com/us/reviews/id1541727575,JeaLee Daige,2023-07-31T16:16:26-07:00,4,11.14.1,10205139246,Love it,Awesome thanks,https://itunes.apple.com/us/review?id=942608209&type=Purple%20Software,0,Application,0
